country,route,stage,param,multiplier,demand,total_CO2e_kg,note
BRA,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
BRA,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
BRA,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
CHN,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
CHN,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
CHN,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
DEU,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
DEU,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
DEU,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
IND,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
IND,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
IND,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
IRN,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
IRN,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
IRN,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
JPN,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
JPN,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
JPN,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
KOR,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
KOR,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
KOR,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
RUS,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
RUS,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
RUS,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
TUR,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
TUR,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
TUR,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
USA,BF-BOF,Finished,bf_intensity,0.8,1000.0,,ERROR: EOF when reading a line
USA,BF-BOF,Finished,bf_intensity,1.0,1000.0,,ERROR: EOF when reading a line
USA,BF-BOF,Finished,bf_intensity,1.2,1000.0,,ERROR: EOF when reading a line
