route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,RUS,energy_int,Blast Furnace,3391.4489517654797,13.0,0.05,121.51990537773942,121.51990537773942,0.7166252955951469,energy_int :: Blast Furnace,
BF-BOF,RUS,e_efs,Coke,3391.4489517654797,135.8112848,0.05,118.22462848756548,118.22462848756548,0.6971924399806846,e_efs :: Coke,
BF-BOF,RUS,params,params.process_gas,3391.4489517654797,0.275,0.05,61.99232193295848,61.99232193295848,0.3655801565327248,params :: params.process_gas,
BF-BOF,RUS,e_efs,Coal,3391.4489517654797,111.9508768,0.05,28.51747032866115,28.51747032866115,0.16817278239624314,e_efs :: Coal,
BF-BOF,RUS,energy_int,Sintering,3391.4489517654797,2.0,0.05,17.144577887970172,17.144577887970172,0.10110473801497294,energy_int :: Sintering,
BF-BOF,RUS,energy_int,Hot Rolling,3391.4489517654797,2.5,0.05,10.401835812189347,10.401835812189347,0.06134154433770547,energy_int :: Hot Rolling,
BF-BOF,RUS,e_efs,Gas,3391.4489517654797,72.72788705,0.05,9.084986685301374,9.084986685301374,0.05357584215190395,e_efs :: Gas,
BF-BOF,RUS,energy_int,Nitrogen Production,3391.4489517654797,4.940640469,0.05,5.797516434453428,5.797516434453428,0.03418902372943238,energy_int :: Nitrogen Production,
BF-BOF,RUS,energy_int,Oxygen Production,3391.4489517654797,4.5,0.05,4.545930301373801,4.545930301373801,0.02680818945546761,energy_int :: Oxygen Production,
BF-BOF,RUS,e_efs,Electricity,3391.4489517654797,38.5,0.05,4.16495923655998,4.16495923655998,0.02456153281854256,e_efs :: Electricity,
BF-BOF,RUS,energy_int,Basic Oxygen Furnace,3391.4489517654797,0.35,0.05,2.190332842450289,2.190332842450289,0.012916796765052717,energy_int :: Basic Oxygen Furnace,
BF-BOF,RUS,energy_int,Burnt Lime Production,3391.4489517654797,6.609049917,0.05,1.1362613905043872,1.1362613905043872,0.0067007429960747955,energy_int :: Burnt Lime Production,
BF-BOF,RUS,energy_int,Pelletizing,3391.4489517654797,1.1,0.05,0.689131878148828,0.689131878148828,0.004063937791486368,energy_int :: Pelletizing,
BF-BOF,RUS,energy_int,Dolomite Production,3391.4489517654797,6.609049917,0.05,0.12189825300265511,0.12189825300265511,0.0007188564813231158,energy_int :: Dolomite Production,
BF-BOF,RUS,p_efs,Basic Oxygen Furnace,3391.4489517654797,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006603519627900322,p_efs :: Basic Oxygen Furnace,
BF-BOF,RUS,energy_int,Coke Production,3391.4489517654797,6.54,0.05,-0.07627706105017751,0.07627706105017751,-0.00044981989783729524,energy_int :: Coke Production,
BF-BOF,RUS,p_efs,Blast Furnace,3391.4489517654797,1.685862723,0.05,0.07525691195451145,0.07525691195451145,0.00044380389046006494,p_efs :: Blast Furnace,
BF-BOF,RUS,p_efs,Sintering,3391.4489517654797,0.4197238619,0.05,0.02697917150385365,0.02697917150385365,0.00015910115049680556,p_efs :: Sintering,
BF-BOF,RUS,p_efs,Coal from Market,3391.4489517654797,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.393291750960328e-05,p_efs :: Coal from Market,
BF-BOF,RUS,p_efs,Hot Rolling,3391.4489517654797,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,8.21125544449569e-05,p_efs :: Hot Rolling,
BF-BOF,RUS,params,params.process_gas_coke,3391.4489517654797,0.085,0.05,-0.007047293875984906,0.007047293875984906,-4.155919181573592e-05,params :: params.process_gas_coke,
BF-BOF,RUS,p_efs,Burnt Lime Production,3391.4489517654797,1.159317011,0.05,0.002701612054806901,0.002701612054806901,1.5931904582556244e-05,p_efs :: Burnt Lime Production,
BF-BOF,RUS,p_efs,Pelletizing,3391.4489517654797,0.08915412303,0.05,0.000716335367769716,0.000716335367769716,4.224361787293391e-06,p_efs :: Pelletizing,
BF-BOF,RUS,p_efs,Iron Ore from Market,3391.4489517654797,0.00889,0.05,0.0006646424194514111,0.0006646424194514111,3.919518936620996e-06,p_efs :: Iron Ore from Market,
BF-BOF,RUS,p_efs,Scrap Purchase,3391.4489517654797,0.00958,0.05,4.7900000026857015e-05,4.7900000026857015e-05,2.824751350122596e-07,p_efs :: Scrap Purchase,
BF-BOF,RUS,p_efs,Limestone from Market,3391.4489517654797,0.002744187323,0.05,4.37624573805806e-05,4.37624573805806e-05,2.5807528288343697e-07,p_efs :: Limestone from Market,
BF-BOF,RUS,p_efs,Dolomite Production,3391.4489517654797,0.08943387259,0.05,2.2358468413585797e-05,2.2358468413585797e-05,1.3185201211385886e-07,p_efs :: Dolomite Production,
BF-BOF,RUS,e_efs,RLF,3391.4489517654797,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
BF-BOF,RUS,e_efs,Wood,3391.4489517654797,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
BF-BOF,RUS,e_efs,Charcoal,3391.4489517654797,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
BF-BOF,RUS,e_efs,FLF,3391.4489517654797,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
BF-BOF,RUS,params,params.iron_content_pig_iron,3391.4489517654797,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
BF-BOF,RUS,p_efs,Coke Production,3391.4489517654797,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
BF-BOF,RUS,params,params.feo3_sinter,3391.4489517654797,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
BF-BOF,RUS,params,params.feo3_pellet,3391.4489517654797,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
BF-BOF,RUS,params,params.blend.sinter,3391.4489517654797,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
BF-BOF,RUS,params,params.feo3_lump,3391.4489517654797,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
BF-BOF,RUS,params,params.blend.lump,3391.4489517654797,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
BF-BOF,RUS,params,params.blend.pellet,3391.4489517654797,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
