BF;Capacity;EOL;Relining;Fuel
1;1200;2076;2030;coal
2;100;2101;2101;charcoal
3;100;2101;2101;charcoal
4;3000;2043;2043;coal
5;190;2101;2101;charcoal
6;128;2101;2101;charcoal
7;112;2101;2101;charcoal
8;237;2101;2101;charcoal
9;180;2101;2101;charcoal
10;660;2041;2041;coal
11;180;2101;2101;charcoal
12;1200;2048;2039;coal
13;3900;2039;2039;coal
14;660;2038;2038;coal
15;1040;2049;2037;coal
16;1680;2036;2036;coal
17;3280;2033;2032;coal
18;464;2101;2101;charcoal
19;2900;2026;2025;coal
20;2815;2036;2025;coal
21;1600;2025;2025;coal
22;3192;2066;2030;coal
23;2800;2057;2030;coal
24;360;2101;2101;charcoal
25;360;2101;2101;charcoal
26;1533;2057;2030;coal
27;2650;2060;2030;coal
28;500;2060;2030;coal
29;2650;2064;2034;coal
30;350;2101;2101;charcoal
31;100;2101;2101;charcoal
32;100;2101;2101;charcoal
33;100;2101;2101;charcoal
