Processo;Process
Manganese from Market;
Chromium from Market;
Nickel from Market;
Molibdenium from Market;
Copper from Market;
Silicon from market;
Vanadium from market;
Titanium from market;
Niobium from market;
Aluminium from market;
Zinc from Market;
Limestone from Market;
Process Gas;
Fuel Oil from Market;1
Diesel from Market;0
Ethanol from Market;0,5
Biodiesel from Market;0,5
Natural gas from Market;1
LPG from Market;0
Biomethane from Market;0
Hydrogen (Electrolysis) from Market;0
Hydrogen (Methane reforming) from Market;0
Wood from Market;1
Charcoal from Market;1
Coal from Market;1
Anthracite Coal from Market;0
PCI Coal from Market;0
Coke Petroleum from Market;0
Coke Mineral  from Market;0
Electricity from Market;0,654812017
Electricity Hydro from Market;0
Electricity Eolic from Market;0
Electricity Solar from Market;0
Electricity Biomass from Market;0
Electricity Production;0,345187983
Charcoal Production;0
Coke Production;1
Steam Production;1
Nitrogen from Market;0
Nitrogen Production;1
Oxigen from Market;0,00017
Oxigen Production;1
Burnt Lime from Market;0
Burnt Lime Production;1
Dolomite from Market;0
Dolomite Production;1
"Alloys Mix for Low Alloy Steel
(LAS)";0
"Alloys Mix for High Alloy Steel
(HAS)";0
Scrap Purchase;0,1
Iron Ore from Market;0,9
Direct Iron ore;0,1
Sintering;0,8
Pelletizing;0,1
Blast Furnace;1
Direct Reduction Iron;0
Iron Foundry;0
Electric Arc Furnace;0
Basic Oxygen Furnace;1
Regular Steel;0,8
Steel Refining (Low Alloy);0,2
Steel Refining (High Alloy);0
Continuous Casting;1
Ingot Casting;0
Hot Rolling;0,76
Cold Rolling;0,2
Rod/bar/section Mill;0,24
Steel Thermal Treatment;0,3
Hot Dip Metal Coating;0,23
Electrolytic Metal Coating;0,03
Direct use of Basic Steel Products;0,1
Casting/Extrusion/Conformation;0,1
Stamping/calendering/lamination;0,35
Machining;0,45
No Coating;0,7
Hot Dip Metal Coating FP;0
Electrolytic Metal Coating FP;0
Organic or Sintetic Coating (painting);0,3
